episode_id,episode_index,old_type,new_type,transition,pre_new_match,pre_old_match,late_new_match,late_old_match,development_new_match,development_old_match,new_target_gain,old_target_drop,late_new_over_old,pre_new_over_old,revision_shift,development_revision_shift,rounds_to_adapt
swap-001-expertise-to-risk,1,expertise,risk,expertise_to_risk,0.0,1.0,0.8333333333333334,0.16666666666666666,0.5,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666667,-1.0,1.6666666666666667,1.3333333333333335,6
swap-002-fairness-to-risk,2,fairness,risk,fairness_to_risk,0.0,1.0,0.5,0.3333333333333333,0.0,1.0,0.5,0.6666666666666667,0.16666666666666669,-1.0,1.1666666666666667,0.0,10
swap-002-fairness-to-expertise,2,fairness,expertise,fairness_to_expertise,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.0,1.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,4
swap-002-risk-to-fairness,2,risk,fairness,risk_to_fairness,0.0,1.0,1.0,0.0,0.6666666666666666,0.16666666666666666,1.0,1.0,1.0,-1.0,2.0,1.5,6
swap-002-risk-to-expertise,2,risk,expertise,risk_to_expertise,0.0,1.0,1.0,0.0,0.16666666666666666,0.6666666666666666,1.0,1.0,1.0,-1.0,2.0,0.5,8
swap-002-expertise-to-fairness,2,expertise,fairness,expertise_to_fairness,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,0.16666666666666663,0.0,1.0,0.8333333333333334,0.16666666666666663,0.16666666666666663,4
swap-002-expertise-to-risk,2,expertise,risk,expertise_to_risk,0.0,1.0,1.0,0.0,0.16666666666666666,0.6666666666666666,1.0,1.0,1.0,-1.0,2.0,0.5,8
swap-003-fairness-to-risk,3,fairness,risk,fairness_to_risk,0.0,1.0,1.0,0.0,0.5,0.3333333333333333,1.0,1.0,1.0,-1.0,2.0,1.1666666666666667,6
swap-003-fairness-to-expertise,3,fairness,expertise,fairness_to_expertise,0.0,1.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666667,-1.0,1.6666666666666667,0.8333333333333333,8
swap-003-risk-to-fairness,3,risk,fairness,risk_to_fairness,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.0,1.0,0.16666666666666666,0.33333333333333337,0.16666666666666666,-0.33333333333333337,0.5,-0.6666666666666666,
swap-003-risk-to-expertise,3,risk,expertise,risk_to_expertise,0.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,-1.0,2.0,0.6666666666666667,7
swap-003-expertise-to-fairness,3,expertise,fairness,expertise_to_fairness,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,1.0,0.0,0.6666666666666667,0.0,-0.6666666666666667,0.6666666666666667,-0.33333333333333326,
swap-003-expertise-to-risk,3,expertise,risk,expertise_to_risk,0.16666666666666666,0.5,1.0,0.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.5,1.0,-0.33333333333333337,1.3333333333333335,1.0,4
swap-004-fairness-to-risk,4,fairness,risk,fairness_to_risk,0.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,-1.0,2.0,1.0,6
swap-004-fairness-to-expertise,4,fairness,expertise,fairness_to_expertise,0.0,1.0,1.0,0.0,0.3333333333333333,0.5,1.0,1.0,1.0,-1.0,2.0,0.8333333333333333,7
swap-004-risk-to-fairness,4,risk,fairness,risk_to_fairness,0.8333333333333334,0.0,0.5,0.5,0.0,1.0,-0.33333333333333337,-0.5,0.0,0.8333333333333334,-0.8333333333333334,-1.8333333333333335,12
swap-004-risk-to-expertise,4,risk,expertise,risk_to_expertise,0.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,-1.0,2.0,0.6666666666666667,7
swap-004-expertise-to-fairness,4,expertise,fairness,expertise_to_fairness,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.0,0.0,0.16666666666666666,0.16666666666666674,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.5,-0.5,10
swap-004-expertise-to-risk,4,expertise,risk,expertise_to_risk,0.16666666666666666,0.16666666666666666,1.0,0.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666,1.0,0.0,1.0,0.5,5
swap-005-fairness-to-risk,5,fairness,risk,fairness_to_risk,0.6666666666666666,0.16666666666666666,0.0,0.5,1.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.5,0.5,-1.0,0.5,4
swap-005-fairness-to-expertise,5,fairness,expertise,fairness_to_expertise,0.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,-1.0,2.0,1.0,6
swap-005-risk-to-fairness,5,risk,fairness,risk_to_fairness,0.0,1.0,1.0,0.0,0.5,0.16666666666666666,1.0,1.0,1.0,-1.0,2.0,1.3333333333333335,6
swap-005-risk-to-expertise,5,risk,expertise,risk_to_expertise,0.0,1.0,1.0,0.0,0.16666666666666666,0.8333333333333334,1.0,1.0,1.0,-1.0,2.0,0.33333333333333326,8
swap-005-expertise-to-fairness,5,expertise,fairness,expertise_to_fairness,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,
swap-005-expertise-to-risk,5,expertise,risk,expertise_to_risk,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,
swap-006-fairness-to-risk,6,fairness,risk,fairness_to_risk,0.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666667,0.0,-1.0,1.0,0.33333333333333326,
swap-006-fairness-to-expertise,6,fairness,expertise,fairness_to_expertise,0.0,1.0,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.16666666666666666,-1.0,1.1666666666666667,0.6666666666666667,
swap-006-risk-to-fairness,6,risk,fairness,risk_to_fairness,0.3333333333333333,0.5,0.8333333333333334,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.8333333333333334,-0.16666666666666669,1.0,-0.16666666666666663,8
swap-006-risk-to-expertise,6,risk,expertise,risk_to_expertise,0.0,1.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666667,-1.0,1.6666666666666667,0.5,10
swap-006-expertise-to-fairness,6,expertise,fairness,expertise_to_fairness,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,-0.33333333333333337,-0.5,-0.6666666666666667,0.16666666666666669,-0.8333333333333335,-1.0,
swap-006-expertise-to-risk,6,expertise,risk,expertise_to_risk,0.0,1.0,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,1.0,-1.0,2.0,0.16666666666666663,9
swap-007-fairness-to-risk,7,fairness,risk,fairness_to_risk,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,0.0,0.33333333333333337,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,4
swap-007-fairness-to-expertise,7,fairness,expertise,fairness_to_expertise,0.0,1.0,0.16666666666666666,0.6666666666666666,0.0,1.0,0.16666666666666666,0.33333333333333337,-0.5,-1.0,0.5,0.0,
swap-007-risk-to-fairness,7,risk,fairness,risk_to_fairness,0.0,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666667,-0.16666666666666666,-1.0,0.8333333333333334,0.5,
swap-007-risk-to-expertise,7,risk,expertise,risk_to_expertise,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,0.0,0.33333333333333337,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,4
swap-007-expertise-to-fairness,7,expertise,fairness,expertise_to_fairness,0.0,1.0,0.5,0.16666666666666666,0.0,1.0,0.5,0.8333333333333334,0.33333333333333337,-1.0,1.3333333333333335,0.0,
swap-007-expertise-to-risk,7,expertise,risk,expertise_to_risk,0.0,1.0,0.3333333333333333,0.5,0.0,1.0,0.3333333333333333,0.5,-0.16666666666666669,-1.0,0.8333333333333333,0.0,
